,0,1,accuracy,macro avg,weighted avg
precision,0.8891074502089993,0.8681972789115646,0.8844173183292008,0.878652364560282,0.8832368089444896
recall,0.9588968443383717,0.6936141304347826,0.8844173183292008,0.8262554873865772,0.8844173183292008
f1-score,0.9226843582546568,0.7711480362537765,0.8844173183292008,0.8469161972542166,0.8801397338058115
support,3771.0,1472.0,0.8844173183292008,5243.0,5243.0
precision,0.9625528488020938,0.8876811594202898,0.9586114819759679,0.9251170041111918,0.9563980332149189
recall,0.9935577722360764,0.568445475638051,0.9586114819759679,0.7810016239370637,0.9586114819759679
f1-score,0.9778095919828204,0.693069306930693,0.9586114819759679,0.8354394494567567,0.9544025611116652
support,4812.0,431.0,0.9586114819759679,5243.0,5243.0
precision,0.9652605459057072,0.7641277641277642,0.9496471485790577,0.8646941550167357,0.946885073376309
recall,0.9798488664987406,0.6492693110647182,0.9496471485790577,0.8145590887817293,0.9496471485790577
f1-score,0.9724999999999999,0.7020316027088037,0.9496471485790577,0.8372658013544019,0.9477900319850309
support,4764.0,479.0,0.9496471485790577,5243.0,5243.0
precision,0.9923371647509579,0.5652173913043478,0.99046347510967,0.7787772780276528,0.9880195320992946
recall,0.9980732177263969,0.24528301886792453,0.99046347510967,0.6216781182971607,0.99046347510967
f1-score,0.9951969260326609,0.3421052631578947,0.99046347510967,0.6686510945952777,0.9885950076400682
support,5190.0,53.0,0.99046347510967,5243.0,5243.0
precision,0.9807006503041745,0.8886554621848739,0.9723440778180431,0.9346780562445243,0.971659400660566
recall,0.9887901861252115,0.8213592233009709,0.9723440778180431,0.9050747047130911,0.9723440778180431
f1-score,0.9847288046340179,0.8536831483350151,0.9723440778180431,0.9192059764845165,0.9718566869544477
support,4728.0,515.0,0.9723440778180431,5243.0,5243.0
precision,0.9872856867655557,0.7307692307692307,0.9847415601754721,0.8590274587673932,0.9821974335853884
recall,0.9972757345787118,0.36538461538461536,0.9847415601754721,0.6813301749816636,0.9847415601754721
f1-score,0.9922555663117134,0.4871794871794871,0.9847415601754721,0.7397175267456002,0.9822368914633917
support,5139.0,104.0,0.9847415601754721,5243.0,5243.0
precision,0.9552296410652258,0.5737704918032787,0.9507915315658974,0.7645000664342523,0.9358038175189852
recall,0.9947749196141479,0.13108614232209737,0.9507915315658974,0.5629305309681226,0.9507915315658974
f1-score,0.9746012994683994,0.21341463414634146,0.9507915315658974,0.5940079668073704,0.9358378358710335
support,4976.0,267.0,0.9507915315658974,5243.0,5243.0
precision,0.8679046212281072,0.7619047619047619,0.8577150486362769,0.8149046915664345,0.8474850412325744
